Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
fallout,38400,N,,,Overwhelmingly Positive,1997-09-30,16461,Bethesda Softworks,85.0,276,984,123,1928,"['RPG', 'Post-apocalyptic', 'Classic', 'Open World', 'Isometric', 'Turn-Based', 'Turn-Based Combat', 'Singleplayer', 'Sci-fi', 'Atmospheric', 'Multiple Endings', 'CRPG', ""1990's"", 'Retro', 'Adventure', 'Exploration', '2D', 'Difficult', 'Tactical', 'Sandbox']"
fallout 2,38410,N,,,Very Positive,1998-12-01,13699,Bethesda Softworks,86.0,121,1847,74,5014,"['RPG', 'Post-apocalyptic', 'Classic', 'Isometric', 'Open World', 'Turn-Based Combat', 'Turn-Based', 'Singleplayer', 'Story Rich', 'Sci-fi', 'Atmospheric', 'CRPG', 'Retro', 'Exploration', 'Dark Humor', 'Great Soundtrack', 'Replay Value', 'Adventure', '2D', 'Sandbox']"
fallout tactics,38420,N,,,Mostly Positive,2001-03-01,2321,Bethesda Softworks,87.0,18,1638,19,2907,"['Post-apocalyptic', 'RPG', 'Turn-Based', 'Strategy', 'Tactical', 'Isometric', 'Classic', 'Singleplayer', 'Sci-fi', 'Turn-Based Strategy', 'Tactical RPG', 'Open World', 'Real-Time with Pause', 'Action', 'Atmospheric', 'Turn-Based Tactics', 'Story Rich', 'Multiplayer', 'CRPG', 'Adventure']"
fallout new vegas,22380,Y,41,75,Overwhelmingly Positive,2010-10-21,209520,Bethesda Softworks,88.0,858,1643,482,8193,"['Open World', 'RPG', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Story Rich', 'Exploration', 'First-Person', 'Action', 'Adventure', 'FPS', 'Sci-fi', 'Western', 'Atmospheric', 'Action RPG', 'Character Customization', 'Survival', 'Sandbox', 'Shooter', 'Third Person']"
feather,545040,Y,0,1,Very Positive,2019-04-05,492,Samurai Punk,89.0,21,30,38,41,"['Exploration', 'Flight', 'Sandbox', 'Nature', 'Third Person', 'Relaxing', 'Open World', 'Casual', 'Simulation', 'Stylized', 'Atmospheric', 'Co-op', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Music', 'Indie', 'Walking Simulator', 'Birds']"
fez,224760,Y,0,12,Very Positive,2013-05-01,11589,Trapdoor,90.0,553,355,657,728,"['Platformer', 'Indie', 'Puzzle', 'Pixel Graphics', 'Exploration', 'Great Soundtrack', 'Singleplayer', 'Adventure', 'Casual', 'Mystery', 'Puzzle Platformer', '2D', 'Beautiful', 'Relaxing', 'Atmospheric', '2.5D', 'Cute', 'Retro', 'Controller', 'Metroidvania']"
final fantasy vii,3837340,Y,0,31,Mostly Positive,2013-07-24,1171,Square Enix,91.0,1500,2206,761,4918,"['RPG', 'Adventure', 'Strategy', 'JRPG', 'Party-Based RPG', 'Exploration', ""1990's"", 'Cyberpunk', 'Fantasy', 'Dystopian', 'Retro', 'Magic', 'Atmospheric', 'Singleplayer', 'Story Rich', 'Sci-fi', 'Turn-Based', 'Great Soundtrack']"
final fantasy vii (2013),39140,Y,0,36,Very Positive,,30294,Square Enix,,,,,,"['JRPG', 'RPG', 'Classic', 'Turn-Based', 'Story Rich', 'Singleplayer', 'Great Soundtrack', 'Fantasy', 'Retro', 'Adventure', 'Party-Based RPG', 'Sci-fi', 'Epic', 'Open World', 'Cyberpunk', 'Atmospheric', 'Dystopian', ""1990's"", 'Exploration', 'Strategy']"
a fistful of gun,229810,Y,0,13,Mixed,2015-09-23,137,Devolver Digital,3.0,4,187,2,362,"['Action', 'Indie', 'Western', 'Pixel Graphics', 'Bullet Hell', 'Local Co-Op', 'Co-op', 'Top-Down Shooter', 'Arena Shooter', 'Twin Stick Shooter', '2D', 'Multiplayer', 'Local Multiplayer', 'Top-Down', 'Difficult']"
flinthook,401710,Y,0,37,Mostly Positive,2017-04-18,597,Tribute Games Inc.,92.0,5,1102,2,3289,"['Action Roguelike', 'Indie', 'Action', 'Adventure', 'Pixel Graphics', 'Roguelite', 'Platformer', 'Roguelike', '2D', 'Singleplayer', 'Difficult', 'Loot', '2D Platformer', 'Pirates', 'Great Soundtrack', 'Side Scroller', 'Colorful', 'Replay Value', 'Procedural Generation', 'Metroidvania']"
framed collection,322450,Y,0,18,Very Positive,2018-05-17,2291,Fellow Traveller,93.0,116,174,124,209,"['Puzzle', 'Casual', 'Indie', 'Comic Book', 'Adventure', 'Noir', 'Singleplayer', 'Minimalist', 'Touch-Friendly', 'Heist', 'Family Friendly', 'Point & Click', 'Great Soundtrack', 'Strategy', '2D', 'Cartoon', 'Music', 'Puzzle Platformer', 'Platformer', 'Addictive']"
frog detective 1 the haunted island,963000,Y,0,6,Very Positive,2018-11-22,3001,worm club,94.0,263,45,586,48,"['Comedy', 'Short', 'Funny', 'Casual', 'Cute', 'Detective', 'Mystery', 'Relaxing', 'Colorful', 'Exploration', 'Investigation', 'Walking Simulator', 'Point & Click', 'Adventure', 'Interactive Fiction', 'Singleplayer', 'Soundtrack', 'Indie', 'Great Soundtrack', 'Story Rich']"
ftl faster than light,212680,Y,0,51,Overwhelmingly Positive,2012-09-14,62307,Subset Games,95.0,300,775,65,7296,"['Roguelike', 'Space', 'Strategy', 'Sci-fi', 'Indie', 'Singleplayer', 'Perma Death', 'Difficult', 'Replay Value', 'Real-Time with Pause', 'Procedural Generation', 'Tactical', 'Top-Down', 'Space Sim', 'Roguelite', '2D', 'Survival', 'Choose Your Own Adventure', 'Adventure', 'Simulation']"
